页码,微博id,微博bid,微博作者,发布时间,微博内容,转发数,评论数,点赞数
1,4909480955609218,N3YDRnxdg,Violet_宋,2023-06-06 03:55:36,#Apple Vision Pro 苹果首款头显# 感觉软件还有很多东西没做完，硬件上也做了很多妥协，算是个半成品吧。 尽管很多槽点，但他确实让一个艰难无比的赛道又看到了光。 光是摒弃了手柄的自由式交互和Eyesight，就很惊艳了。至于价格，看看就好了。 只是不知道要等多久，才能真的上手体验一把。 难得熬个 ...全文,14,85,380
1,4910692287906248,N4u9CxaM8,伦敦大爵爷,2023-06-09 12:09:00,我前面多次说过模拟经营类游戏，最近涨得最好的就是这类。  以前玩模拟经营，感觉就是耗时间，很容易失去趣味。未来的模拟经营会非常好玩。  第一，体验感很强，很多新奇的道具、宠物、技能，会非常好玩。  第二，人工智能，不仅仅人机交互，里面的玩偶、人物可以自己交往、提升，非常有意思。  第三， ...全文,37,22,358
1,4901244692859909,N0wnzbZZz,Miserable-Faith_Jambo,2023-05-14 10:27:38,魔音汽车音乐节@魔音Festival #魔音汽车音乐节#  主办方自己看看分区合理不？ 人家一般vip才分区，你pro送礼包酒水为啥要分区，有多少pro乐迷你们心理没点数吗？划个8-12m的pro区，几十人在里面划船骑马？真的，不会办千万别办，不仅损害乐迷体验，还影响乐队交互，更别提降低城市体验了 ...全文,5,54,137
1,4911998758027552,N528PxGkE,苍穹基金,2023-06-13 02:40:27,苹果新头显评价的确比较爆炸，不像宣传片里那样，从各大up主讲的真机体验中，交互细节很赞，没有其他vr眼镜那么low的设计，可以说七八年的确做出了一些属于苹果的东西，对于未来的对接游戏的确埋了一把大棋。     就是现在应用端的确内容太少。落地估计要1-2年，如果真落地就是一个超大趋势了，未来可 ...全文,0,0,0
1,4911936833066235,N50wXcRFp,用户7839783619,2023-06-12 22:34:23,#听说开M8宗师的人都很有来头# 我对传祺M8宗师的印象就是非常霸气，外观设计非常令人印象深刻，醒狮前脸，霸气十足！而我最喜欢的是它的智能系统，语音即时唤醒，四音区独立语音交互，大大提升驾驶体验！ ,0,0,0
1,4911913164608030,N4ZUMjkL4,MyWishList买微力,2023-06-12 21:00:20,智己的智能Ai舱包括“第一性原理”的全功能布局、一眼余光感知的直觉式交互（涵盖A柱/侧后/后视盲区影像辅助）、一键场景代驾（一键贴边距离墙边的距离不会超过5公分）以及预研中的虚拟和现实融合的一路刷爆体验，而且老车主也能ota。 ,3,1,0
1,4911905968492984,N4ZJazDpC,HELLOChengdu,2023-06-12 20:31:44,6月10日，“行走中国·2023海外华文媒体看大运”活动在成都启动。当晚，来自14个国家的25家海外华文媒体走进成都十二月市博物馆，通过全沉浸交互式数字的体验，回望成都千年商脉，解读成都繁盛密码，展望“双循环”新发展格局下的城市未来。详情请看→网页链接 ,0,0,1
1,4911904994367498,N4ZHBikbw,LH手机科技爱好者,2023-06-12 20:27:52,外屏的个性化交互体验，moto razr 40 Ultra打开新世界了！#新摩登主义##moto小折叠# LH手机科技爱好者的微博视频 ,2,8,13
1,4911899416464342,N4ZyBr7FA,梦飞不着地,2023-06-12 20:05:42,其实psvr2眼动交互就已经很好，vision pro只是加了手势，它最大的突破就是清晰度也就是那块屏幕，vr是关于眼睛的就如人近视就得配眼镜一样，屏幕不好体验就上不去。,0,0,0
1,4911746185957705,N4VzsoZS1,李叨鱼,2023-06-12 09:56:49,WatchOS 10：史诗级更新。  苹果WatchOS 10基本能算得上是史诗级更新，因为以往Apple Watch的交互方式被彻底改变了。  多任务按键，现在变成了点击开启控制中心，控制中心也变成了亮色。多任务开启需要两次点按表冠，稍微麻烦了一点，不过以我的使用体验来看，Apple Watch的后台基本上从来没管过，所以 ...全文,1,4,16
1,4911864846491280,N4YEQreG4,一个棉女士,2023-06-12 17:48:20,figma的错误页竟然还可以交互 爱了爱了 好喜欢这种重视体验的不干正经事的团队啊  改造成一只工作日噘嘴的小盒子人 舍不得刷新了 ,0,2,1
1,4911856718976771,N4YrJBFgD,Legal诗睿,2023-06-12 17:16:02,很多画作触动人的原因不是画作本身，而在于画作只是一个契机，恰好触动了人的回忆。  所以，在那一刻，彼时彼刻的情绪全部苏醒，会记起跟画作类似场景的人和事情。  我不由想起最近在读的一本跟互联网相关的书，即《触动人心的体验设计：文字的艺术》，很多时候所谓的自我攻略，其实是内容交互的成功， ...全文,0,0,5
2,4911854259803359,N4YnLF8iH,TCL智享生活,2023-06-12 17:06:16,你理想中的智慧家是什么样子？🧐 TCL AI×IoT给出答案 出入权限管理，门禁刷脸👍 以智慧TV为核心打造沉浸观影体验 家电、灯光等全场景免遥控，AI声控开关机，智慧互联互通 变频空调洁净出风，健康防直吹，营造宜居“舒适圈” 入户管理、影音娱乐、智慧交互、居家健康4大场景全覆盖 #小T每周聊# ...全文,1,3,8
2,4911837898349461,N4XXnz24J,看云看山看心情,2023-06-12 16:01:15,期待魅族Flyme给我们带来更好的车机交互体验。,0,0,0
2,4911831582508836,N4XNcawF6,隆lLlLlLl,2023-06-12 15:36:09,3D建模技术为展厅设计带来了更加精细和完美的呈现效果，六子台科技的数字化展会方案为您提供了更加创新和高效的展示方式。我们采用VR交互设计，让观众享受到更加逼真的互动体验，让您的展品在市场中更加吸引眼球。无论是产品展示还是企业品牌宣传，我们都能为您提供最佳方案#苏州六子台# ,0,0,0
2,4911817153842239,N4XpVg7xB,上海吃喝玩乐fun,2023-06-12 14:38:49,#上海国际电影节# 没想到电影节还能这么玩~今年由上海国际电影节和普陀区文化和旅游局联合举办的“上海国际电影节数字超感试验场”真的是打开了小编新世界的大门。  有“360影院全景观影、立式交互体验、虚拟现实（VR）戏剧、扩展现实（XR）装置……” ”只需要带上VR眼镜就可以身临其境到 ...全文,100,111,114
2,4911800858710024,N4WZDAxSg,小白兔兔吃奶糖,2023-06-12 13:34:04,想想也是 很多事情不需要自证 也不需要证明给第三方去看 relationship是两个人之间的交互体验 谁都不傻 ,0,0,0
