页码,微博id,微博bid,微博作者,发布时间,微博内容,转发数,评论数,点赞数
1,4895279298119802,MDYEhy4ky,刘雅瑟,2023-04-27 23:23:17,好久没看电影，今天看了《灌篮高手》。 看得我热血沸腾、热泪盈眶的，节奏感也太好了。最后鸦雀无声的几分钟，沉浸感拉到满格。 少年的我更容易代入樱木或者流川枫，但现在我能共情的是“没有光环”的宫城，这或许就是成长的心境吧。 原来我们的梦想从来不只是比赛的输赢， 我们已经得到了这个最明亮的 ...全文,325,367,776
1,4907486753063817,N38LpcR2p,不正经制片人,2023-05-31 15:51:21,#沉浸式体验灾难片#  Ⲁⳑⲉⲕ⳽ⲉⲩ制作了一系列第一人称灾难短片 就算是手机看沉浸感也好绝！！  #春日荐片季# 不正经制片人的微博视频 ,5141,990,18834
1,4893661567130739,MDiz2tV1V,破事精英,2023-04-23 12:15:00,距离#破事精英2# 开播还有6天！破事部来了个顶流团宠还失踪了？破事部全员嫌疑人！本季互动集疯狂升级，你！就是我们请来的调查员，权限拉满。完美侦探，在线办案！沉浸感体验，必玩指数五颗星！！ #破事精英2定档0429# 预约速戳：网页链接 破事精英的微博视频 ,73,149,944
1,4912006983844368,N52m6g85W,影视侃侃圈,2023-06-13 03:13:08,#这样的舞台效果太酷了吧 这个沉浸感真的没谁了#微博VC计划#  影视侃侃圈的微博视频 ,0,1,0
1,4911969083328448,N51mYdXSE,洛小基又一次离家出走,2023-06-13 00:42:32,末日乐园广播剧做得真的很好，相比有声书的沉浸感还是强太多了，感觉是末乐已有的衍生里做得最好的了！ 目前听到第三集，蔡娜的林三酒声线稍微有点甜听惯了感觉也很合适，兰陵的卢泽选角也是完美的，太可爱了什么小天使 但播放量好惨能不能出第二季 ,0,0,0
1,4911969054753644,N51mVjWDG,幾何臥榻糖,2023-06-13 00:42:25,開場才知道《願大家擁有幸福》的「擁有幸福」不是幸せ(しあわせ)になる而是幸(さち)あれ，看完發現還真應該用名詞，很雙關，只是有點打破沉浸感因為片名一出來我腦海裡登地開始播放南泥灣唱的那句サチアレ即使我實際上根本沒聽過這首歌不記得調子 ,0,0,0
1,4911960640981103,N519m47ef,绿筏,2023-06-13 00:08:59,这个周末足不出户重温甄嬛传，已经到了眉庄染上时疫恢复位份了，正好前段时间采购了很多食材，自己煮了冬阴功火锅和酸汤鱼米粉，只有吃睡和看剧，很久没有这样的情绪沉浸感了，仿佛外界世界与我无关 ,0,0,0
1,4911451288638178,N4NTOAfbs,我们爱讲冷笑话,2023-06-11 14:25:00,隔着屏幕都沉浸感十足，以后的舞台都按照这个标准卷可以吗 我们爱讲冷笑话的微博视频 ,35,13,109
1,4911954899241220,N5105CM3W,如意姑娘的生活记录,2023-06-12 23:46:10,我一集不落地把护心剧版看完，也陆陆续续地发了很多心得在微博。你发的追剧互动增添了我看剧的趣味和沉浸感。好的文艺作品是鲜活有生命力的，故事留在被打动的人心里，你的演演绎与付出是值得的，像我这样的观众有好好在看。最后，表达下你就是我心目中的天曜，得知选角消息后我就就觉得合适。,0,0,0
1,4911938422967304,N50zwcrVK,赵轩妹,2023-06-12 22:40:42,实在是太喜欢哈利波特魔法觉醒这种画风游戏了，带来别样的童年感，尤其用电脑腾讯手游助手玩简直是像看童话书的感觉，融入感沉浸感特别的强，而且玩起来画质没问题一点也不卡。 ,0,0,0
