页码,微博id,微博bid,微博作者,发布时间,微博内容,转发数,评论数,点赞数
1,4903155379208405,N1k5jCDwF,陈卓璇,2023-05-19 17:00:00,#爱上你疗愈我# 明天就是520啦，来和我共赴一场疗愈的约会吧～@腾讯新闻 @腾讯公益 ,21534,19575,18574
1,4911498662512952,N4P8eaxJu,三联生活周刊,2023-06-11 17:33:15,#没有工资的活儿你会干吗##一个985文科硕士“躺平”与疗愈的方式# 衮衮从考上985学校硕士后，与作为日语培训老师的伴侣洛桑，已在偏远藏区支教10年。  衮衮支教的学校并非当地公立学校，而是供当地孩子正式入学前或辍学后的补充教育，帮助他们学习汉语和能够谋生的手艺，以便在未来，当他们希望进入外 ...全文,41,24,159
1,4908201071351316,N3rlx5Fxq,AndreaAndJayden,2023-06-02 15:09:48,今天和我一起出门吧，且不带一丝焦虑 #穿搭##自我疗愈# AndreaAndJayden的微博视频 ,11,29,272
1,4912043692130377,N53jj8WcV,noymmntyikm,2023-06-13 05:39:00,魔法教育塔罗牌占卜师@徐圆媛  灵摆感情调频 SRT清理疗愈 内在小孩脑部重建疗愈 元辰宫调理 六爻算卦灵摆占卜占星骰子星盘卜卦感情关系检测 魔法蜡烛定制大仪式 新月满月魔法蜡烛日常魔法蜡烛  现代心理占星学老师星盘本命盘推运盘 感情合盘 补财库白羊座运势金牛座运势双子座 ...全文,0,0,0
1,4912042684711111,N53hGjLzF,闹不死的小茜,2023-06-13 05:35:00,疗愈塔罗牌占卜师@徐圆媛 灵摆感情调频 SRT深度清理疗愈 内在小孩疗愈 脑部重建 元辰宫 雷诺曼 六爻算卦现代占星师合盘关系预测占星骰子测算星盘卜卦正缘桃花事业财运 学业考试 白羊座运势金牛座运势双子座运势巨蟹座运势狮子座运势处女座运势天秤座运势天蝎座运势 ...全文,0,0,0
1,4912040168391935,N53dCzd7N,恩婷欸,2023-06-13 05:25:00,玄学命理大师@徐圆媛  灵摆感情调频 SRT深度清理疗愈 内在小孩疗愈 脑部重建 元辰宫 雷诺曼 六爻算卦塔罗牌占卜师 现代星盘占星师本命盘感情合盘占星骰子占卜奇门遁甲 白羊座运势金牛座运势双子座运势巨蟹座运势狮子座运势处女座运势天秤座运势天蝎座运势射手座运势摩羯座 ...全文,0,0,0
1,4912035948658693,N536OAkwl,普通红木板凳,2023-06-13 05:08:13,#bilibili# 伊莎贝拉疗愈空间的视频压制负面情绪，只会带来“虚假的”平静 ,0,0,0
1,4912035681010044,N536o4eL2,泥林小道,2023-06-13 05:07:10,《比治疗疾病更重要的是：疗愈灵魂》当我们衔接上内在的丰富泉源之时，疗愈就发生了。高层自我，就是人类比较容易接触的灵性层面，我们可以以此为工具来开展自我的疗愈。网页链接 ,0,0,0
1,4912034381299988,N534i5sby,Neal寶寶紀錄_387,2023-06-13 05:02:00,现代心理占星学@徐圆媛   灵摆感情调频 SRT深度清理疗愈 内在小孩疗愈脑部重建 元辰宫调理 雷诺曼 六爻测算塔罗牌占卜师预测感情关系发展占星骰子算卦三个月事情发展星盘卜卦占星看正缘事业财富格局亲子关系人际关系学业考试双人关系合盘补财库  “人真正的能力，应该包括抑制欲望、全力投 ...全文,0,0,0
1,4912020720451909,N52Ig1TyR,海晏看故宫,2023-06-13 04:07:43,晚霞是良药，疗愈人世间的麻木和慌张。——于守山。海晏看故宫 ,0,0,0
1,4912019008389286,N52Fuzcr4,一条狗而已5464,2023-06-13 04:00:55,人间大清醒 #bilibili# 宇宙情感疗愈师L的视频【硬核心理学】人间清醒！看完视频后前任是谁？ ,0,1,0
1,4912017519935957,N52D5FGNn,恩婷欸,2023-06-13 03:55:00,玄学命理大师@徐圆媛  灵摆感情调频 SRT深度清理疗愈 内在小孩疗愈 脑部重建 元辰宫 雷诺曼 六爻算卦塔罗牌占卜师 现代星盘占星师本命盘感情合盘占星骰子占卜奇门遁甲 白羊座运势金牛座运势双子座运势巨蟹座运势狮子座运势处女座运势天秤座运势天蝎座运势射手座运势摩羯座 ...全文,0,0,0
1,4912013966574097,N52xmrAdP,课佳mm66z1哦请备注微博吧,2023-06-13 03:40:53,占星初阶筑基第一期  颂钵疗愈与身心灵知道营销大师整合  占星初阶之行星与生命舞台 ,0,0,0
2,4912013744013399,N52x0gQ4f,noymmntyikm,2023-06-13 03:40:00,魔法教育塔罗牌占卜师@徐圆媛  灵摆感情调频 SRT清理疗愈 内在小孩脑部重建疗愈 元辰宫调理 六爻算卦灵摆占卜占星骰子星盘卜卦感情关系检测 魔法蜡烛定制大仪式 新月满月魔法蜡烛日常魔法蜡烛  现代心理占星学老师星盘本命盘推运盘 感情合盘 补财库白羊座运势金牛座运势双子座 ...全文,0,0,0
