关键词,频率
 ,4178
疗愈,485
全文,205
运势,193
人,179
愈,155
都,152
不,115
好,98
会,92
去,85
自我,80
很,74
没有,69
说,66
感情,64
真的,62
喜欢,59
…,58
能量,58
爱,57
##,53
上,53
做,53
情绪,52
中,51
想,49
生活,49
内在,48
今天,47
看,47
视频,46
关系,46
占星,45
工具,45
不是,45
心理,44
里,44
需要,44
️,42
治愈,40
小孩,39
深度,39
月,38
还,38
更,37
星盘,36
年,35
心灵,35
生命,35
微博,34
力量,34
老师,33
灵摆,33
调频,33
塔罗牌,32
清,32
理疗,32
才,32
人生,32
觉得,32
后,31
SRT,31
占卜师,30
重建,30
六爻,30
算卦,30
现代,30
合盘,30
治疗,30
知道,30
很多,30
时间,30
感觉,30
课程,30
最,30
2,30
徐圆媛,29
脑部,29
元辰宫,29
骰子,29
创伤,29
身体,29
｜,28
雷,27
诺曼,27
最近,27
已经,27
可能,27
小,27
身心,27
希望,26
白羊座,25
时,25
心情,25
心,25
感受,25
金牛座,24
双子座,24
大师,24
一种,24
分享,24
健康,24
处女座,23
情感,23
听,23
3,23
别人,23
大自然,23
看到,23
体验,23
课,23
方式,22
带来,22
事情,22
疗愈师,22
世界,22
找,22
一天,22
1,22
一起,21
占星师,21
巨蟹座,21
狮子座,21
天秤座,21
天蝎座,21
发展,21
大家,21
推广,21
一次,21
吃,21
现在,21
自然,21
事业,20
重要,20
6,20
过程,20
非常,20
地方,20
再,20
日,20
却,19
享受,19
痛苦,19
成为,19
不会,19
成长,19
走,19
每个,19
太,19
新,19
占卜,18
大,18
状态,18
朋友,18
美好,18
魔法,17
盘,17
发生,17
真正,17
能力,17
讲,17
工具箱,17
没,17
特别,17
计划,17
这种,17
东西,17
塔罗,17
改变,17
2023,17
一下,17
快乐,17
内心,17
阿姨,17
孩子,16
卜卦,16
本命,16
玄学,16
链接,16
故事,16
出来,16
万能,16
12,16
下,16
呼吸,16
音乐,16
问题,16
开心,16
前,15
预测,15
学业,15
考试,15
实战,15
班,15
邮件,15
选择,15
意义,15
起来,15
一定,15
4,15
事,15
训练营,15
出,15
一场,14
